Aufnahmesigle;Ort;Y;X;Beleg;Infinitivrektion;Kommentar
ZW--_E_03443;Bomlitz;52,9;9,65;Wir waren alle jünger, Dienst brauchten wir nicht mitmachen, aber Wache mußten wir machen ;NULL;
ZW--_E_03448;Osterheide;52,85;9,73;kann so allerhand mit fertigmachen, man braucht nicht immer andere Leute zu betteln, nicht! ;ZU;
ZW--_E_03450;Südheide;52,83;10,15;wir in unserem Leben überhaupt gehabt haben. Ich brauchte überhaupt nicht zu arbeiten, ;ZU;
ZW--_E_03451;Südheide;52,83;10,15;da kann man ja ein bißchen weiter drehen, braucht man nicht soviel Furchen zu machen, nicht!;ZU;
ZW--_E_03455;Südheide;52,83;10,15;Hier brauchen sie ja keins zu backen, hier kommt ja der Bäcker und;ZU;
ZW--_E_03455;Südheide;52,83;10,15;Hier brauchen die Frauen nichts zu machen. Da nehmen sie alles hier. ;ZU;
ZW--_E_03472;Rehlingen;53,1;10,22;Das ging denn einmal ganz fix, da brauchte man bloß man an der (Lade) hin- und her zu trecken ;ZU;
ZW--_E_03481;Weitramsdorf;50,25;10,87;Und rote Weiden, die braucht man ja bloß zwei Stunden nein Wasser zu tun oder eine Stunde,;ZU;
ZW--_E_03510;Bad Steben;50,37;11,65;Es ist dann einfacher und er braucht nicht mehr mit der Bahn oder mit'm Bus fahren.;NULL;
ZW--_E_03511;Bad Steben;50,37;11,65; schlachten müssen, nicht wahr, die brauchen es nicht gleich zu verpumpen oder das wird dann in ;ZU;
ZW--_E_03516;Helmbrechts;50,24;11,72;nicht vom ersten aus. Das brauch ich auch weiter nichts zu erklären.;ZU;
ZW--_E_03516;Helmbrechts;50,24;11,72;heute noch lebt. Natürlich das vergangene brauche ich auch nicht zu sagen, nicht. Ja. ;ZU;
ZW--_E_03524;Feilitzsch;50,37;11,92;Gut bewacht von der Grenzpolizei und Zoll und Landpolizei, also wir brauchen keinen Kummer haben;NULL;
ZW--_E_03556;Weidenberg;49,94;11,72;daß daß ich der Arbeit nimmer hintendrein laufen brauche. ;NULL;
ZW--_E_03561;Hirschbach;49,55;11,53;jetzt schon als Kontaristin in Nürnberg, brauch mich nicht mehr kümmern um die. Jetzt hab ich mir ;NULL;
ZW--_E_03561;Hirschbach;49,55;11,53;Schön daheim ein wenig haben, fein braucht's nicht sein, aber schön sauber soll es sein. Und dann bin ich schon zufrieden;NULL;
ZW--_E_03592;Lichtenfels (Oberfranken);50,13;11,03;also so was, am Hochzeitstag brauchten sie doch nicht zu machen. Nachher ist sie gekommen;ZU;
ZW--_E_03595;Lichtenfels (Oberfranken);50,13;11,03;meinem Mann. Ja. Das brauch keine großartige Leiche sein, das braucht es nicht,;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_03597;Heiligenstadt in Oberfranken ;49,87;11,17;wenn man da heimkommt, und brauch keine Kartoffeln abpflücken, ne. Denn die treiben ja;NULL;
ZW--_E_03597;Heiligenstadt in Oberfranken ;49,87;11,17;Vorteil, wenn man Sie nicht kaufen braucht. Wenn man sie selber züchtet, das hat man;NULL;
ZW--_E_03598;Heiligenstadt in Oberfranken ;49,87;11,17;noch hinangefahren dazu. Ja, jetzt brauchen wir nicht mehr soviel zahlen dazu und haben doch einen;ZU;
ZW--_E_03618;Wadersloh;51,74;8,25;Sauna draußen unter freiem Himmel! Die braucheN wir nicht bezahlen! Da beneidet uns oft jedenfalls der;NULL;
ZW--_E_03618;Wadersloh;51,74;8,25;ganze Drescharbeit im Winter gespart. Ich brauch den andern Leuten keine guten Worte mehr zu geben,;NULL;
ZW--_E_03620;Wadersloh;51,74;8,25;große Werk nicht jedes Mal losgemacht werden brauchte. Gradewegs kam man dann auf das Herdfeuer zu.;NULL;
ZW--_E_03621;Langenberg;51,78;8,32;"sagte er, "" hier, da brauch ich ja gar nicht nachgucken bei euch, da ist";NULL;
ZW--_E_03621;Langenberg;51,78;8,32;"Hahn schon 'n Knüppel drin hat, dann brauch ich nicht mehr zu gucken.""";ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_03623;Langenberg;51,78;8,32;sich so'n Sitz drauf gemacht, dann brauchte er beim Frühstücken nicht so schräg sitzen. Er konnte;NULL;
ZW--_E_03625;Langenberg;51,78;8,32;"hat alles der Fleischer gemacht; du brauchst nur immer das Wasser gießen über 'n Tepla. Na";NULL;
ZW--_E_03640;Büren;51,55;8,56;"man! Nun sag man. Du brauchst nicht lange Reue und Leid erwecken!"" "" Ach"",";NULL;
ZW--_E_03645;Brilon;51,4;8,57;Und äh, meine Tante, die brauchte nicht mehr so viel zu laufen. Und äh,;ZU;
ZW--_E_03646;Brilon;51,4;8,57;nicht, das tut nicht, da braucht man nicht binden. Früher, da fielen die Kornfuhren;NULL;
ZW--_E_03648;Brilon;51,4;8,57;egal, da sparen wir Schulpapier, brauchen keine Bücher kaufen- und streiten tun sie sich auch;NULL;
ZW--_E_03649;Marsberg;51,45;8,85;"kannst du mich zu jeder Zeit, brauchst du nur zu winken und dann komm ich."" """;ZU;
ZW--_E_03661;Willebadessen;51,63;9,03;, jeder Privatmann, der ihn eben braucht, für Marmelade einzumachen oder sonstige Zwecke. Und äh;ZU;
ZW--_E_03662;Willebadessen;51,63;9,03;sowas hat bei den eigenen Leuten, braucht man sich nicht erschrecken. Aber wo man nichts zu;NULL;
ZW--_E_03664;Willebadessen;51,63;9,03;haben sie einen Futtermeister, und da brauchen sich die übrigen nicht drum kümmern, die spannen die;NULL;
ZW--_E_03665;Willebadessen;51,63;9,03;wir erstensmal billig davon ab, wir brauchten nur zehn Lire bezahlen, das waren so ungefähr zwei;NULL;
ZW--_E_03668;Höxter;51,77;9,37;wo die Familie kleiner ist, jetzt brauchen wir ja nur noch eins zu schlachten. Aber ich;ZU;
ZW--_E_03668;Höxter;51,77;9,37;die liegen so hoch, da brauchen wir nicht bange zu sein, daß wir das in;ZU;
ZW--_E_03673;Brakel ;51,72;9,19;wie zu der damaligen Zeit. Heute brauchen sie bloß Sprit und Wasser reinzuschütten, dann geht das;ZU;undeutlich
ZW--_E_03713;Wettringen;52,21;7,32;"arbeiten, daß meine Frau nicht gehen braucht; sonst so stelte der mich nicht ein; äh";NULL;
ZW--_E_03720;Moers;51,46;6,62;" sagt unsere Dern, "" der braucht dir auch nicht zu gefallen. Die Hauptsache ist,";ZU;
ZW--_E_03743;Kalkar;51,74;6,29;können, wir fahren ja, Sie brauchen ja nichts tragen. Ich bin am dreißichsten Januar von;NULL;
ZW--_E_03785;Viersen;51,25;6,39;"sagt: "" Tuschka, zu Hause brauchtest du nicht so viel arbeiten."" Ich sage: """;NULL;
ZW--_E_03792;Nettetal;51,32;6,28;und was er kaputtgetrampelt hat, das braucht Ihr nicht zu bezahlen. Ihr habt das Stück so;ZU;
ZW--_E_03792;Nettetal;51,32;6,28;Arbeit oder irgend etwas in Platt, braucht ja nicht gerade eine Geschichte zu sein;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_03793;Nettetal;51,32;6,28;soll ich Euch nett sagen, Ihr braucht nicht gehen zu füttern und und nicht den Schweinen gehen;ZU;
ZW--_E_03794;Nettetal;51,32;6,28;Ja nein, höre mal, die brauchst Du Weihnachten nicht extra zu füttern, was, die;NULL;sehr undeutlich
ZW--_E_03794;Nettetal;51,32;6,28;Bauer die Arbeit gespart diesen Herbst, dann braucht der sie nicht auszumachen.;ZU;
ZW--_E_03794;Nettetal;51,32;6,28;Hause, läßt die Kleider an, brauchst Dich nicht umzuziehen, kriegst- kriegst die Zeitung,;ZU;
ZW--_E_03794;Nettetal;51,32;6,28;Brauchen sie keinen suchen.;NULL;
ZW--_E_03794;Nettetal;51,32;6,28; da kannst Du Platt sprechen, brauchst Du nicht solche Verbeugungen zu machen wie in dem.;ZU;
ZW--_E_03842;Ganderkeese;53,04;8,55;das war ganz schön. Da brauchte man nicht bange zu sein, dass man mit der;ZU;sehr undeutlich
ZW--_E_03843;Ganderkeese;53,04;8,55;Die brauchen nicht zu reiten, nicht, die mit darin?;ZU;
ZW--_E_03849;Hude;53,11;8,46;trocknet auch ja schneller ab, dann braucht das Regenwasser da nicht alles heraus zu trocknen und da;ZU;
ZW--_E_03854;Elsfieth;53,23;8,47;es ja alles mit dem Trecker. Brauchst ja nichts mehr zu machen da, wenn man das;ZU;sehr undeutlich
ZW--_E_03854;Elsfieth;53,23;8,47;da noch ein Fehler darin war, dann braucht man ja noch nicht bezahlen.;ZU;sehr undeutlich
ZW--_E_03856;Elsfieth;53,23;8,47;zu sagen, also nicht alle arbeiten brauchen und da sind dann wohl irgendwo paar Pferde bei,;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_03871;Butjadingen;53,55;8,33;meine, hungern haben wir ja nicht brauchen, die haben uns ja allerhand zu ganzen Quark,;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_03871;Butjadingen;53,55;8,33;da nicht für Männer! Aber wir brauchten in Berlin nicht so lange zu arbeiten, als wie;ZU;
ZW--_E_03882;Varel;53,4;8,14; Da brauchte man auch nicht viel Zeit in damaligen Zeit mit dem Viehfüttern und so was vergeuden.;NULL;
ZW--_E_03911;Beckeln;52,86;8,58;daß mein Junge heute soweit ist und braucht nicht mehr nach dem Holz hinzugehen, denn die Arbeit;ZU;
ZW--_E_03911;Beckeln;52,86;8,58;mir ja die meiste Arbeit abnehmen Der braucht heute auch nicht mehr nach dem Holz zu gehen,;ZU;
ZW--_E_03911;Beckeln;52,86;8,58;nach dem Holz zu gehen, der braucht auch nicht mehr mit Kühe zu arbeiten, der fährt;ZU;
ZW--_E_03917;Ehrenburg;52,75;8,7;viel Last von. Die, wir brauchen sie auch nicht anzubinden in der.;ZU;
ZW--_E_03934;Kirchdorf;52,59;8,84;ein Butter mitbringen. Nein, dann brauchten wir uns kein Butter mitbringen, wenn wir fünf Groschen;NULL;
ZW--_E_03937;Rethem (Aller);52,78;9,38;den Eimer nicht so schwer zu ziehen brauchte. Ja, der ist also heute noch.;ZU;
ZW--_E_04039;Leinburg;49,45;11,31;"euch passiert gar nichts!"" Wir brauchen keine Angst haben ";NULL;
ZW--_E_04041;Kalchreuth;49,57;11,13;, paß auf, Schorsch, da brauchst nicht so scharf kommen, das dauert ungefähr bis so;NULL;
ZW--_E_04110;Sollwitt;54,59;9,23;das habe ich gut getroffen, ich brauche nun ja nicht arbeiten, habe ich immer frei.;NULL;
ZW--_E_04135;Tating;54,33;8,72;Jedenfalls brauchte derjenige keine Not zu leiden.;ZU;
ZW--_E_04152;Schülp;54,26;9,63;Brauchten Sie selber gar nichts zu verkaufen, ging alles über;ZU ;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04153;Schülp;54,26;9,63;Und dann hat Wilhelm aufgestakt, da brauchte ich gar nicht gucken, gar nicht gucken, macht;NULL;
ZW--_E_04155;Schülp;54,26;9,63;zum Hauptsekretär und Prüfungen und so weiter brauch ich nun nicht mehr ablegen, das ist ja vorbei;NULL;
ZW--_E_04159;Haßmoor;54,29;9,82;können unsere Arbeit alleine machen, brauchen keine anzunehmen, nicht und Opa ist noch mit hier;ZU;
ZW--_E_04189;Gremersdorf;54,33;10,93;na wie nennt sich das, darum brauchen wir nicht mit unserem Ganzen dafür haften und nicht mehr;NULL;
ZW--_E_04191;Gremersdorf;54,33;10,93;bei Sommergerste, den man nicht schwaden braucht, den man gleich aus dem Halm dreschen kann und;ZU;
ZW--_E_04210;Dillenburg;50,73;8,28;werden lauter schöne Wege gemacht, da braucht man keine Furcht mehr zu haben vorm Umwerfen. Na;ZU;
ZW--_E_04212;Dillenburg;50,73;8,28;sie hätten das gar nicht zu machen brauchen hier mit den ganzen Konsultationsgerichten darin. Also, mein;ZU;
ZW--_E_04216;Dillenburg;50,73;8,28; Sie brauchen sich nicht anzustrengen.-;ZU;
ZW--_E_04216;Dillenburg;50,73;8,28;an, und läutet- automatisch.Braucht man gar nicht mehr hinzugehen. Und Samstag abend,;ZU;
ZW--_E_04217;Breitscheikl (Hessen) ;50,68;8,2;alles mit der Maschine gemacht, da braucht man mit der Hand nichts zu machen.;ZU;
ZW--_E_04224;Greifenstein;50,61;8,24;aber die Landwirtschaft sowieso hat, man braucht wenigstens kein Hunger leiden. Also sein Brot und sein;NULL;
ZW--_E_04224;Greifenstein;50,61;8,24;brauchen uns nicht zu beschweren, wir brauchen keinen Hunger leiden. Na ja, den Sommer über;NULL;
ZW--_E_04234;Aarbergen;50,25;8,07;ist nichts wo der nichts zu schaffen braucht. Man muß aber den ganzen, ganzen Sonntag Wird;ZU ;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04235;Aarbergen;50,25;8,07;man sich schon nicht zu besinnen, braucht sich auch keine Gedanken zu machen, wo die Arbeit;ZU;
ZW--_E_04235;Aarbergen;50,25;8,07;Das mahlt der Metzger, das brauchen wir auch alleweil nicht mehr selber zu machen, tut;ZU;
ZW--_E_04246;Wiesbaden;50,8;8,24;das andere mit der Butter, das brauch ich Ihnen ja nicht zu erklären, nicht? Oder;ZU;
ZW--_E_04294;Aßlar;50,58;8,47;der Lehrer hat gesagt, wir brauchten nicht zu schreiben, na ja, da haben wir;ZU;
ZW--_E_04297;Heuchelheim;50,58;8,63;Tag auf den andern anfangen. Da brauchte ich bloß den einen Tag Bescheid zu sagen, den;ZU;
ZW--_E_04300;Heuchelheim;50,58;8,63;Schulzeit, war's ja noch so der braucht ja nicht mehr zu tun, der den ganzen Tag;ZU;
ZW--_E_04302;Altenvers;50,71;8,62;alles schon auf dem Feld, da brauchen es die Leute gar nicht mehr heimzufahren, na,;ZU ;
ZW--_E_04302;Altenvers;50,71;8,62;wer auf die Arbeit geht, der braucht nicht zu arbeiten, der geht stempeln, das hatten;ZU;
ZW--_E_04302;Altenvers;50,71;8,62;Durst. Wer das nicht mit hat brauchen machen, der weiß auch nicht, was Arbeit ist;ZU;
ZW--_E_04306;Altenvers;50,71;8,62;Da zu der Zeit, da brauchte man noch keine Angst zu haben, wenn man auf;ZU;
ZW--_E_04307;Gladenbach;50,77;8,58;Da haben wir es daheim. Da brauchen wir keins mehr für das Vieh zu tragen. Nichts;ZU;
ZW--_E_04307;Gladenbach;50,77;8,58;saufen die Küh' draus. Und da braucht man garnichts zu machen. Es ist alleweil alles viel;ZU;
ZW--_E_04307;Gladenbach;50,77;8,58;Und man spart viel mehr Arbeit und braucht sich auch nicht mehr so viel zu quälen wie früher;ZU;
ZW--_E_04312;Gladenbach;50,77;8,58;mal im Heu machen. Frühstück machen brauchen mich nicht mehr. Sind alleweil die Binder, braucht;NULL;
ZW--_E_04316;Marburg;50,82;8,77;man immer was für den Nachtisch. Braucht man da nicht fort zu gehen in den Obstladen.;ZU;
ZW--_E_04317;Marburg;50,82;8,77;ist es denn so in Ihrer Sie brauchen übrigens gar nicht so laut zu sprechen, wie ist;ZU;
ZW--_E_04318;Marburg;50,82;8,77;da hatte man frei, da brauchten die Mägde nicht zu arbeiten für die Bauern. Aber;ZU;
ZW--_E_04318;Marburg;50,82;8,77;los mit dem Mistfahren. Und da brauchte man auf den Abend nicht mehr zu stricken. Da;ZU;
ZW--_E_04318;Marburg;50,82;8,77;nur hacken, nur hacken! Brauchen sie die Hacke gar nicht hinzustellen. Bis sie an;ZU;
ZW--_E_04326;Schnackenburg;53,04;11,57;kochen, als wenn ich bloß hingehen brauch und brauch bloß aus dem Vollen zu nehmen, nicht;NULL;
ZW--_E_04326;Schnackenburg;53,04;11,57;als wenn ich bloß hingehen brauch und brauch bloß aus dem Vollen zu nehmen, nicht. Aber;ZU;
ZW--_E_04326;Schnackenburg;53,04;11,57;man doch alles gekauft, und man braucht sich nicht so alles aus den Lumpenkisten herzusuchen, nicht;ZU;
ZW--_E_04370;Neetze;43,27;10,63;drückt doller auf, und beim anderen braucht man nicht so doll zu halten.;ZU;
ZW--_E_04381;Reppenstedt;53,25;10,35;hatten noch mehr Landzulage, und dann brauchte ich auch nicht mehr so schwer arbeiten wie so lange;NULL;
ZW--_E_04404;Klein Zecher;53,58;10,87;und paar schöne Schuhe gekauft, ich brauchte nicht mehr auf Holzpantoffeln gehen, und hatte immer schöne;NULL;
ZW--_E_04404;Klein Zecher;53,58;10,87;sehr schön gehabt, ich habe nicht brauchen so viel arbeiten, wie meine größere Schwester, ich;NULL;
ZW--_E_04408;Ziethen;53,7;10,82;"Ihr kriegt genug zu essen, ihr braucht euch nichts mitzubringen."" Dann sind wir auch manchmal nach";ZU;
ZW--_E_04413;Lasbek;53,73;10,36;der Krieg ging, dann wohl, brauchten die Changierten also Unteroffiziere aufwärts nicht zu arbeiten.;ZU;
ZW--_E_04417;Grande;53,58;10,39;Wenn es- wenn es geregnet , dann brauchte nicht gegossen zu werden.;ZU;
ZW--_E_04417;Grande;53,58;10,39; Und Feinbrot und-, na das brauchte ja nicht so lange dann backen nicht? - Aber;NULL;
ZW--_E_04419;Grande;53,58;10,39;zu sehen. Am Stiefel, der braucht ihn bloß vierzehn Tage tragen. Der hat der hat;NULL;
ZW--_E_04433;Kayhude;53,77;10,13;gingen wir nicht gleich unter, brauchten wir keine Angst haben.;NULL;
ZW--_E_04433;Kayhude;53,77;10,13;rausgelassen auf den Hof, und Haus brauchten wir nicht abschließen, da war alles Einquartierung, SS;NULL;
ZW--_E_04436;Kayhude;53,77;10,13;Sie braucht nicht gepreßt werden, aber das ist, besser,;NULL;
ZW--_E_04442;Bark;53,92;10,18;Ortschaft gegenüber von der Schule. Ich brauchte bloß über die Straße zu gehen, dann waren wir;ZU;
ZW--_E_04442;Bark;53,92;10,18;Dann braucht es so furchtbar warm ja nicht zu. sein.;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04442;Bark;53,92;10,18;Ich meine das Kuchengewürz, das brauchten sie nicht zu kaufen das wußten sie selbst, was;ZU;
ZW--_E_04477;Rösrath;50,9;7,18;ist ja auch heute so, man braucht nicht mehr zu Ang äh Angst und Bange zu haben;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04477;Rösrath;50,9;7,18;hole dir Unterstützung, nicht, dann brauchst du nichts zu tun. Das gab es früher nicht;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04482;Rösrath;50,9;7,18;mußten wir immer Schürzen umbinden, wir brauchten nicht so zu gehen, bloß im Kleid- das;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04482;Rösrath;50,9;7,18;immer gerne gemacht, in der Zeit brauchte ich ja nicht zu lernen. - War auch ein;ZU;
ZW--_E_04509;Netphen;50,91;8,1;wann sie kleiner waren, dann brauchten sie nicht so lange zu brühen, und wenn man;ZU;
ZW--_E_04521;Velbert;51,34;7,04;Die ganzen Arbeiter da br die brauchten denn nichts bezahlen. Denn wurde da denn wurde da;NULL;
ZW--_E_04521;Velbert;51,34;7,04;das ist ja das Beste. Da braucht man nicht so viel Hafer und Kraftfutter zu füttern.;ZU;
ZW--_E_04528;Nindorf;54,08;9,12;nach Schule, mit Holzpantoffeln. Schuhe brauchten wir auf dem Lande nicht anziehen, das taten bloß;NULL;
ZW--_E_04532;Nindorf;54,08;9,12;wenn Sie nun mal nicht mitarbeiten brauchten, haben Sie auch?;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04538;Bendorf;54,08;9,38;Aber so arbeiten haben die Männer nicht brauchen, wie wir Frauen mußten, beim Dreschen in den;NULL;
ZW--_E_04538;Bendorf;54,08;9,38; dann heute nicht rabottke, Du brauchst nicht arbeiten heute, dann feiert ihr Weihnachten und nachher;NULL;
ZW--_E_04545;Reher;54,07;9,57;wenn man sich nicht viel abzuspaddeln brauchte. Und dann nachher in der Mittelschule, da habe;ZU;
ZW--_E_04545;Reher;54,07;9,57;dem, äh, Fahrradschlauch, da brauchte man keine Angst zu haben, daß man untergehen tat;ZU;
ZW--_E_04552;Drochtersen;53,7;9,38;ist ja eigentlich nicht schwer. Da braucht man ja bloß die Formulare auszufüllen. Da steht ja;ZU;
ZW--_E_04573;Geestland;53,63;8,75;es nicht soviel Rauch kriegte. Anders brauchte das nicht so lange dauern, die Schinken nicht so;NULL;
ZW--_E_04574;Geestland;53,63;8,75;Und Sie brauchten keine Angst zu haben, daß Sie vom Amerikaner gefaßt;ZU;
ZW--_E_04574;Geestland;53,63;8,75;wir wenigstens auch die Zeit nicht hungern brauchen, haben wir ja immer gut was zu essen gehabt;NULL;
ZW--_E_04577;Geestland;53,63;8,75;wir da einen andern Lehrling, nun brauche ich das natürlich nicht mehr zu machen, was ein;ZU;
ZW--_E_04577;Geestland;53,63;8,75;aber wir haben einen Chef so wir brauchen das nicht abends oder in unserer Freizeit zu machen,;ZU;
ZW--_E_04590;Lamstedt;53,63;9,1;hättest gar keinen Bauern haben, brauchst dich da nicht mit abquälen mit klettern, da ging;NULL;
ZW--_E_04591;Lamstedt;53,63;9,1;Früher auch das Binden, nun brauchen wir ja gar nicht mehr zu binden und früher mußten;ZU;
ZW--_E_04594;Grünendeich;53,57;9,62;gewesen, wo wir gar nichts machen brauchten. Na, nachher hat uns dann doch einer wieder;NULL;
ZW--_E_04598;Bischheim;49,67;8,03;und dann werden sie geholt. Das brauche ich Ihnen nicht zu sagen. Sagte ich, ich;ZU;
ZW--_E_04601;Bischheim;49,67;8,03;uns an der Ostsee reichlich, da braucht man bloß fünf Minuten laufen, da war man auf;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04603;Bischheim;49,67;8,03;neuen Schule ist's so schön, da brauch man gar nicht darüber zu erzählen. Am einunddreißigsten siebten;ZU;
ZW--_E_04613;Rehborn;49,73;7,69;Wingert, die nicht gepflegt sind, braucht man bereits nicht hinauszugehen. So ist.;ZU;
ZW--_E_04624;Pferdsfeld;49,85;7,59;Gott sei Dank im Haus, brauchen wir nicht mehr zu holen, das ist uns schon;ZU;
ZW--_E_04625;Pferdsfeld;49,85;7,59;Im Stall, also jetzt brauch ich nur noch zu melken im Stall, gelt.;ZU;
ZW--_E_04633;Wallertheim;49,84;8,05;Ach, ich brauch nicht mehr so viel zu erzählen, du hast mir;ZU;
ZW--_E_04669;Hankensbüttel;52,73;10,6;hatten wir ja Zeit, weil Schularbeiten brauchten wir nicht zu machen, als wir noch in die;ZU;
ZW--_E_04676;Bergen;47,82;12,6;Wilhelm, hole mal einen rein, brauchst nicht lange zu suchen, nimmst ihn oben ab.;ZU;
ZW--_E_04680;Hadernstorf;52,72;9,63;Kram, daß wir nichts zu verkaufen brauchen. Wir kriegen ja nun auch durch diese, zum;ZU;
ZW--_E_04685;Neustadt am Rübenberge;52,51;9,46;wir dann am Sonntag keine zu schälen brauchten, dann schimpften sie dann. Ja sonnabends mußten wir;ZU;
ZW--_E_04688;Wrestedt;52,9;10,58;Winter. Heute stempeln sie, heute braucht keiner was zu tun dann, nein keiner. Ja;ZU;
ZW--_E_04703;Seelze;52,4;9,6;vorbeigehen, dann lacht keiner und mich brauchen sie bloß von weitem zu hören, dann lachen sie;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04735;Lathen;52,87;7,32;noch zu Hause bei dem Kunden abzuladen brauchst, das ist ganz.;NULL;
ZW--_E_04745;Lengerich (Emsland);52,55;7,53;die Hochzeit im Hause hatten, die brauchten dann bloß zu ihren Nachbarn zu sagen: Ja,;ZU;
ZW--_E_04745;Lengerich (Emsland);52,55;7,53;hatte auch verschiedene gewisse Vorteile, der brauchte sich keinen großen Hofstaat zu machen, wie das heute;ZU;
ZW--_E_04746;Lengerich (Emsland);52,55;7,53;schönes Werk, vor allen Dingen man braucht nach keinem, äh, überhaupt mal etwas zu fragen;ZU;
ZW--_E_04748;Lengerich (Emsland);52,55;7,53;mußte ich da immer hin und Dienst brauchte ich sehr wenig mitmachen, mußte ja Wache stehen mittags;ZU;
ZW--_E_04748;Lengerich (Emsland);52,55;7,53;hatte ich immer Geld genug, ich brauchte von zu Hause nichts zu haben, ich hatte immer;ZU;
ZW--_E_04761;Lorup;52,93;7,64;wo waren denn unsere Alten, wir brauchen da nicht tausend Jahre zurückgreifen, wir wissen genau,;NULL;
ZW--_E_04761;Lorup;52,93;7,64;können. Damals, von der Zeit brauchen wir nicht zu sprechen, da lebte die Stadt,;NULL;
ZW--_E_04784;Filsum;53,23;7,63;tüchtig unterstützt. Ich glaube, wir brauchen bloß fünfzehn Prozent von den Kosten tragen und;NULL;
ZW--_E_04788;Filsum;53,23;7,63;äh also wie ging das denn Sie brauchten ja gar nicht in die Schule zu gehen, zur;ZU;
ZW--_E_04796;Leer;53,23;7,45;nicht, immer immer zu, brauchst gar nicht aufstehen, nichts, immer auf den Knien;NULL;
ZW--_E_04817;Emstek;52,82;8,15;"los"", ich sage, "" du brauchst ja die Wahrheit nicht sagen, die lügen ja hier";NULL;
ZW--_E_04819;Essen (Oldenburg) ;52,72;7,94;verpflegt und gut gut, viel arbeiten brauche ich auch nicht mehr, dann sagen alle, ach;NULL;
ZW--_E_04820;Essen (Oldenburg) ;52,72;7,94;auch nicht kaputtschießen und wegen des Hundes brauchten wir ja nicht da reinschießen, da konnten wir ihn;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_04833;Diephilz;52,61;8,37;na ja, das einzelne, das brauche ich euch ja nicht alles zu erzählen. Weiter zu;ZU;
ZW--_E_04841;Bakum;52,74;8,2;Von Vierzig- oder Fünfzigstundenwoche, da brauchen wir nicht von zu sprechen. Sonst Kolpingverein das ist;ZU;
ZW--_E_04852;Essen (Oldenburg) ;52,72;7,94;haben keinen totgeschlagen dabei, das braucht ihr nicht denken, aber wir wollten halt gefürchtete Krieger;NULL;
ZW--_E_04853;Essen (Oldenburg) ;52,72;7,94;na ja, die andern, die brauchten es ja nicht wissen, man, es dauerte auch;NULL;
ZW--_E_04854;Essen (Oldenburg) ;52,72;7,94;nicht, aber man trank's, man braucht's ja auch nicht bezahlen, das war ja die Hauptsache;NULL;
ZW--_E_04854;Essen (Oldenburg) ;52,72;7,94;ein Mädchen, wenn man nichts bezahlen brauchte. Und wenn's dann so um halb eins war,;NULL;
ZW--_E_04899;Rohrenfels;48,68;11,17;dass ich nicht mehr viel rechen habe brauchen, sondern da habe ich bei dem Bauern helfen ;NULL;
ZW--_E_04901;Rohrenfels;48,68;11,17;danach) noch wegnehmen müssen. Heute braucht man( danach) nicht mehr wegnehmen und gar nichts;NULL;
ZW--_E_04901;Rohrenfels;48,68;11,17;Ja, und jetzt- Ich brauche ja nicht mehr viel tun. Ich habe mir ein;NULL;
ZW--_E_04901;Rohrenfels;48,68;11,17;schon der Sohn. Nein, jetzt brauche ich nichts mehr tun, so, oder nicht viel;NULL;
ZW--_E_04905;Nordendorf;48,6;10,83;das Treid nicht mehr so reden brauchen und nichts mehr, nicht, da war der Dreck;NULL;
ZW--_E_04909;Nordendorf;48,6;10,83;( danach) hättest du nicht kommen brauchen, wenn du mir bloß solche dummen Reden gibst.;NULL;
ZW--_E_04910;Wertingen;48,53;10,67;keine Ruhe, na ja, der braucht abends zum Melken nicht mehr- nicht mehr lange hinansitzen;NULL;
ZW--_E_04911;Wertingen;48,53;10,67;weniger Arbeit macht. ( Danach) braucht man sie fast nicht hacken, zweimal heruntereggen oder dreimal;NULL;
ZW--_E_04911;Wertingen;48,53;10,67;der Acker einigermaßen ein wenig ist, braucht man mit der Hacke gar nichts mehr tun. Und;NULL;
ZW--_E_04919;Lauingen (Donau) ;48,57;10,43;Also, mit den Gummiwagen, da braucht man nicht extra außen herum einmachen und so, wie;NULL;
ZW--_E_04919;Lauingen (Donau) ;48,57;10,43;praktisch gar nichts mehr tun. Man braucht sie bloß mehr verladen und einladen. Und das ist;NULL;
ZW--_E_04924;Bibertal;48,4;10,2;( danach) hinnen nichts mehr tun brauche. Mein Vater und ich, wir machen halt das;NULL;
